ERROR.TYPE;Returns a number corresponding to an error type;ТИП.ОШИБКИ;Возвращает числовой код, соответствующий типу ошибки.;ERROR.TYPE;;;
EUROCONVERT;Converts a number to euros, converts a number from euros to a euro member currency, or converts a number from one euro member currency to another by using the euro as an intermediary (triangulation);ПЕРЕСЧЕТЕВРО;Преобразует число в значение в единицах евро, преобразует значения в евро в значение в национальной валюте стран, использующих евро, или преобразует число из одной национальной валюты в другую, используя в качестве промежуточного результата значение в евро (триангуляция).;;;;
EVEN;Rounds a number up to the nearest even integer;ЧЁТН;Округляет число до ближайшего четного целого.;EVEN;;;
EXACT;Checks to see if two text values are identical;СОВПАД;Проверяет идентичность двух текстовых значений.;EXACT;;;
EXP;Returns e raised to the power of a given number;EXP;Возвращает число e, возведенное в указанную степень.;EXP;;;
EXPON.DIST;Returns the exponential distribution;ЭКСП.РАСП;Возвращает экспоненциальное распределение.;EXPON.DIST;;;
EXPONDIST;Returns the exponential distribution;ЭКСПРАСП;Возвращает экспоненциальное распределение.;;;;
F.DIST;Returns the F probability distribution;F.РАСП;Возвращает F-распределение вероятности.;F.DIST;;;
F.DIST.RT;Returns the F probability distribution;F.РАСП.ПХ;Возвращает F-распределение вероятности.;F.DIST.RT;;;
F.INV;Returns the inverse of the F probability distribution;F.ОБР;Возвращает обратное значение для F-распределения вероятности.;F.INV;;;
F.INV.RT;Returns the inverse of the F probability distribution;F.ОБР.ПХ;Возвращает обратное значение для F-распределения вероятности.;F.INV.RT;;;
F.TEST;Returns the result of an F-test;F.ТЕСТ;Возвращает результат F-теста.;F.TEST;;;
FACT;Returns the factorial of a number;ФАКТР;Возвращает факториал числа.;FACT;;;
FACTDOUBLE;Returns the double factorial of a number;ДВФАКТР;Возвращает двойной факториал числа.;FACTDOUBLE;;;
FALSE;Returns the logical value FALSE;ЛОЖЬ;Возвращает логическое значение ЛОЖЬ.;FALSE;;;
FDIST;Returns the F probability distribution;FРАСП;Возвращает F-распределение вероятности.;;;;
FILTERXML;Returns specific data from the XML content by using the specified XPath;ФИЛЬТР.XML;Возвращает определенные данные из содержимого XML, используя указанный объект XPath.;;;;
FIND, FINDBs;Finds one text value within another (case-sensitive);НАЙТИ, НАЙТИБ;Ищет вхождения одного текстового значения в другом (с учетом регистра).;FIND, FINDB;;;
